FilmID,DirectorID
1,16
2,139
3,61
4,139
5,53
6,154
7,94
8,28
9,94
10,172
11,49
12,94
13,129
14,61
15,97
16,151
16,41
17,29
18,55
19,129
20,61
21,176
22,99
23,105
24,154
25,92
25,110
26,35
27,16
28,124
29,122
30,49
31,17
32,133
33,36
34,80
35,68
36,170
37,22
37,37
37,5
38,131
38,89
39,29
40,6
41,98
42,62
43,61
44,86
45,84
46,117
47,69
48,109
48,126
49,64
50,130
51,68
52,172
53,170
54,130
55,28
56,139
57,61
58,140
59,167
60,154
61,2
62,76
63,175
63,30
64,127
65,90
65,57
65,100
66,76
67,127
68,130
69,124
70,28
71,61
72,103
72,24
73,127
74,38
75,55
76,27
77,39
78,175
78,30
79,60
80,46
81,20
82,17
83,132
84,159
85,99
86,172
87,87
88,7
88,95
89,143
90,11
91,113
92,103
93,18
94,114
95,3
96,127
97,28
98,99
99,61
100,173
101,76
102,36
103,68
104,112
105,54
106,158
107,76
108,68
109,127
110,72
111,50
112,128
112,96
113,127
114,119
115,52
116,162
117,154
118,108
119,74
119,13
120,54
121,165
122,27
123,111
124,106
125,32
126,29
127,168
128,153
129,172
130,61
131,29
132,76
133,121
134,130
135,177
136,157
137,78
138,138
139,29
140,42
141,40
142,29
143,154
144,99
145,88
146,9
147,141
148,147
148,142
149,125
150,163
151,28
152,51
153,99
154,135
154,56
155,118
156,140
156,103
157,36
158,17
159,99
160,1
161,68
162,133
163,58
163,134
163,15
164,165
165,67
166,14
167,128
167,146
168,29
169,82
170,93
171,173
172,107
172,73
173,142
173,147
174,154
175,115
176,169
177,141
178,102
179,141
180,17
181,34
182,4
183,26
184,170
185,66
186,127
187,101
188,31
189,129
190,46
191,78
192,130
193,91
194,80
195,70
196,128
196,79
196,103
197,136
198,43
198,155
199,144
200,155
201,25
201,33
202,154
203,71
204,65
205,10
205,63
206,45
207,75
208,176
209,137
210,23
211,142
211,147
212,48
213,75
214,160
215,137
216,104
217,77
218,124
219,148
220,120
221,164
222,66
223,59
224,26
225,21
226,161
227,125
228,53
229,58
229,19
230,171
231,10
232,47
233,83
234,150
235,38
236,85
237,145
238,166
239,116
240,156
241,44
242,10
243,68
244,81
245,149
246,176
247,152
248,8
248,123
249,174
250,12
